TF1,TF2,correlation,abs_correlation
BRD4,KLHL22,-0.7212121212121212,0.7212121212121212
CBLB,KLF7,-0.7212121212121212,0.7212121212121212
FOXP1,NFATC3,-0.7212121212121212,0.7212121212121212
HDAC1,TCF7,-0.7212121212121212,0.7212121212121212
HDAC6,NR4A2,-0.7212121212121212,0.7212121212121212
IKZF3,JUNB,-0.7212121212121212,0.7212121212121212
IRF4,KLF2,-0.7212121212121212,0.7212121212121212
KLHL22,RUNX3,-0.7212121212121212,0.7212121212121212
NFATC3,TCF7,-0.7212121212121212,0.7212121212121212
BCL2,TET2,-0.7090909090909091,0.7090909090909091
FOXP1,IKZF3,-0.7090909090909091,0.7090909090909091
HAVCR2,JUNB,-0.7090909090909091,0.7090909090909091
HDAC2,KLF2,-0.7090909090909091,0.7090909090909091
KLF2,TET2,-0.7090909090909091,0.7090909090909091
KLF2,TOX2,-0.7090909090909091,0.7090909090909091
LEF1,TBX21,-0.7090909090909091,0.7090909090909091
MYC,NFATC3,-0.7090909090909091,0.7090909090909091
ASXL1,KLF2,-0.696969696969697,0.696969696969697
EZH2,MAF,-0.696969696969697,0.696969696969697
FOXO3,MYB,-0.696969696969697,0.696969696969697
IKZF1,STAT5A,-0.696969696969697,0.696969696969697
IRF9,ZEB1,-0.696969696969697,0.696969696969697
KLHL22,TET2,-0.696969696969697,0.696969696969697
BACH2,NFATC3,-0.6848484848484848,0.6848484848484848
BCL2,EZH2,-0.6848484848484848,0.6848484848484848
IKZF2,STAT5B,-0.6848484848484848,0.6848484848484848
JUNB,TRIM21,-0.6848484848484848,0.6848484848484848
MYC,TRIM21,-0.6848484848484848,0.6848484848484848
AHR,IKZF3,-0.6727272727272727,0.6727272727272727
